Archivo de entrada;Archivo de salida;Nombre del algoritmo;Tamano del arreglo;Caracteristica del arreglo;Resultado correcto;Tiempo;Memoria usada
10_aleatorio_D1_a.txt;10_aleatorio_D1_a_merge_sort_out.txt;merge_sort;10;aleatorio;si;0;8192
10_aleatorio_D1_a.txt;10_aleatorio_D1_a_quick_sort_out.txt;quick_sort;10;aleatorio;si;0;8192
10_aleatorio_D1_a.txt;10_aleatorio_D1_a_patience_sort_out.txt;patience_sort;10;aleatorio;si;0;8192
10_aleatorio_D1_a.txt;10_aleatorio_D1_a_std_sort_out.txt;std_sort;10;aleatorio;si;0;8192
10_aleatorio_D1_b.txt;10_aleatorio_D1_b_merge_sort_out.txt;merge_sort;10;aleatorio;si;0;12288
10_aleatorio_D1_b.txt;10_aleatorio_D1_b_quick_sort_out.txt;quick_sort;10;aleatorio;si;0;8192
10_aleatorio_D1_b.txt;10_aleatorio_D1_b_patience_sort_out.txt;patience_sort;10;aleatorio;si;0;16384
10_aleatorio_D1_b.txt;10_aleatorio_D1_b_std_sort_out.txt;std_sort;10;aleatorio;si;0;8192
10_aleatorio_D1_c.txt;10_aleatorio_D1_c_merge_sort_out.txt;merge_sort;10;aleatorio;si;0;8192
10_aleatorio_D1_c.txt;10_aleatorio_D1_c_quick_sort_out.txt;quick_sort;10;aleatorio;si;0;8192
10_aleatorio_D1_c.txt;10_aleatorio_D1_c_patience_sort_out.txt;patience_sort;10;aleatorio;si;0;8192
10_aleatorio_D1_c.txt;10_aleatorio_D1_c_std_sort_out.txt;std_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_a.txt;10_aleatorio_D7_a_merge_sort_out.txt;merge_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_a.txt;10_aleatorio_D7_a_quick_sort_out.txt;quick_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_a.txt;10_aleatorio_D7_a_patience_sort_out.txt;patience_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_a.txt;10_aleatorio_D7_a_std_sort_out.txt;std_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_b.txt;10_aleatorio_D7_b_merge_sort_out.txt;merge_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_b.txt;10_aleatorio_D7_b_quick_sort_out.txt;quick_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_b.txt;10_aleatorio_D7_b_patience_sort_out.txt;patience_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_b.txt;10_aleatorio_D7_b_std_sort_out.txt;std_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_c.txt;10_aleatorio_D7_c_merge_sort_out.txt;merge_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_c.txt;10_aleatorio_D7_c_quick_sort_out.txt;quick_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_c.txt;10_aleatorio_D7_c_patience_sort_out.txt;patience_sort;10;aleatorio;si;0;8192
10_aleatorio_D7_c.txt;10_aleatorio_D7_c_std_sort_out.txt;std_sort;10;aleatorio;si;0;8192
10_ascendente_D1_a.txt;10_ascendente_D1_a_merge_sort_out.txt;merge_sort;10;ordenado;si;0;8192
10_ascendente_D1_a.txt;10_ascendente_D1_a_quick_sort_out.txt;quick_sort;10;ordenado;si;0;8192
10_ascendente_D1_a.txt;10_ascendente_D1_a_patience_sort_out.txt;patience_sort;10;ordenado;si;0;8192
10_ascendente_D1_a.txt;10_ascendente_D1_a_std_sort_out.txt;std_sort;10;ordenado;si;0;8192
10_ascendente_D1_b.txt;10_ascendente_D1_b_merge_sort_out.txt;merge_sort;10;ordenado;si;0;8192
10_ascendente_D1_b.txt;10_ascendente_D1_b_quick_sort_out.txt;quick_sort;10;ordenado;si;0;8192
10_ascendente_D1_b.txt;10_ascendente_D1_b_patience_sort_out.txt;patience_sort;10;ordenado;si;0;8192
10_ascendente_D1_b.txt;10_ascendente_D1_b_std_sort_out.txt;std_sort;10;ordenado;si;0;8192
10_ascendente_D1_c.txt;10_ascendente_D1_c_merge_sort_out.txt;merge_sort;10;ordenado;si;0;8192
10_ascendente_D1_c.txt;10_ascendente_D1_c_quick_sort_out.txt;quick_sort;10;ordenado;si;0;8192
10_ascendente_D1_c.txt;10_ascendente_D1_c_patience_sort_out.txt;patience_sort;10;ordenado;si;0;8192
10_ascendente_D1_c.txt;10_ascendente_D1_c_std_sort_out.txt;std_sort;10;ordenado;si;0;8192
10_ascendente_D7_a.txt;10_ascendente_D7_a_merge_sort_out.txt;merge_sort;10;ordenado;si;0;8192
10_ascendente_D7_a.txt;10_ascendente_D7_a_quick_sort_out.txt;quick_sort;10;ordenado;si;0;8192
10_ascendente_D7_a.txt;10_ascendente_D7_a_patience_sort_out.txt;patience_sort;10;ordenado;si;0;8192
10_ascendente_D7_a.txt;10_ascendente_D7_a_std_sort_out.txt;std_sort;10;ordenado;si;0;8192
10_ascendente_D7_b.txt;10_ascendente_D7_b_merge_sort_out.txt;merge_sort;10;ordenado;si;0;8192
10_ascendente_D7_b.txt;10_ascendente_D7_b_quick_sort_out.txt;quick_sort;10;ordenado;si;0;8192
10_ascendente_D7_b.txt;10_ascendente_D7_b_patience_sort_out.txt;patience_sort;10;ordenado;si;0;8192
10_ascendente_D7_b.txt;10_ascendente_D7_b_std_sort_out.txt;std_sort;10;ordenado;si;0;8192
10_ascendente_D7_c.txt;10_ascendente_D7_c_merge_sort_out.txt;merge_sort;10;ordenado;si;0;8192
10_ascendente_D7_c.txt;10_ascendente_D7_c_quick_sort_out.txt;quick_sort;10;ordenado;si;0;8192
10_ascendente_D7_c.txt;10_ascendente_D7_c_patience_sort_out.txt;patience_sort;10;ordenado;si;0;8192
10_ascendente_D7_c.txt;10_ascendente_D7_c_std_sort_out.txt;std_sort;10;ordenado;si;0;8192
10_descendente_D1_a.txt;10_descendente_D1_a_merge_sort_out.txt;merge_sort;10;decrecientemente;si;0;8192
10_descendente_D1_a.txt;10_descendente_D1_a_quick_sort_out.txt;quick_sort;10;decrecientemente;si;0;8192
10_descendente_D1_a.txt;10_descendente_D1_a_patience_sort_out.txt;patience_sort;10;decrecientemente;si;0;8192
10_descendente_D1_a.txt;10_descendente_D1_a_std_sort_out.txt;std_sort;10;decrecientemente;si;0;8192
10_descendente_D1_b.txt;10_descendente_D1_b_merge_sort_out.txt;merge_sort;10;decrecientemente;si;0;8192
10_descendente_D1_b.txt;10_descendente_D1_b_quick_sort_out.txt;quick_sort;10;decrecientemente;si;0;8192
10_descendente_D1_b.txt;10_descendente_D1_b_patience_sort_out.txt;patience_sort;10;decrecientemente;si;0;8192
10_descendente_D1_b.txt;10_descendente_D1_b_std_sort_out.txt;std_sort;10;decrecientemente;si;0;8192
10_descendente_D1_c.txt;10_descendente_D1_c_merge_sort_out.txt;merge_sort;10;decrecientemente;si;0;8192
10_descendente_D1_c.txt;10_descendente_D1_c_quick_sort_out.txt;quick_sort;10;decrecientemente;si;0;8192
10_descendente_D1_c.txt;10_descendente_D1_c_patience_sort_out.txt;patience_sort;10;decrecientemente;si;0;8192
10_descendente_D1_c.txt;10_descendente_D1_c_std_sort_out.txt;std_sort;10;decrecientemente;si;0;8192
10_descendente_D7_a.txt;10_descendente_D7_a_merge_sort_out.txt;merge_sort;10;decrecientemente;si;0;8192
10_descendente_D7_a.txt;10_descendente_D7_a_quick_sort_out.txt;quick_sort;10;decrecientemente;si;0;8192
10_descendente_D7_a.txt;10_descendente_D7_a_patience_sort_out.txt;patience_sort;10;decrecientemente;si;0;8192
10_descendente_D7_a.txt;10_descendente_D7_a_std_sort_out.txt;std_sort;10;decrecientemente;si;0;8192
10_descendente_D7_b.txt;10_descendente_D7_b_merge_sort_out.txt;merge_sort;10;decrecientemente;si;0;8192
10_descendente_D7_b.txt;10_descendente_D7_b_quick_sort_out.txt;quick_sort;10;decrecientemente;si;0;8192
10_descendente_D7_b.txt;10_descendente_D7_b_patience_sort_out.txt;patience_sort;10;decrecientemente;si;0;8192
10_descendente_D7_b.txt;10_descendente_D7_b_std_sort_out.txt;std_sort;10;decrecientemente;si;0;8192
10_descendente_D7_c.txt;10_descendente_D7_c_merge_sort_out.txt;merge_sort;10;decrecientemente;si;0;8192
10_descendente_D7_c.txt;10_descendente_D7_c_quick_sort_out.txt;quick_sort;10;decrecientemente;si;0;8192
10_descendente_D7_c.txt;10_descendente_D7_c_patience_sort_out.txt;patience_sort;10;decrecientemente;si;0;12288
10_descendente_D7_c.txt;10_descendente_D7_c_std_sort_out.txt;std_sort;10;decrecientemente;si;0;8192
